model,noise,intensity,scenario,population,accuracy,precision_macro,recall_macro,f1_macro,rows
XGBoost,missing,0.2,missing-20,corrupted,0.8304965194357173,0.05536643462904782,0.06666666666666667,0.06049335143900246,649320
KNN,missing,0.3,missing-30,intact,0.9002618123575433,0.6999610761277382,0.7089840676023623,0.6110169634658499,2272620
KNN,missing,0.3,missing-30,corrupted,0.8307788503594552,0.055385256690630345,0.06666666666666667,0.060504584351906844,973974
SVM,missing,0.3,missing-30,intact,0.9162253258353794,0.6079469049015181,0.35488162031489195,0.3857255212617125,2272620
SVM,missing,0.3,missing-30,corrupted,0.8307788503594552,0.055385256690630345,0.06666666666666667,0.060504584351906844,973974
Random Forest,missing,0.3,missing-30,intact,0.8310109037146554,0.292477441992946,0.10034269239081335,0.10321424582960174,2272620
Random Forest,missing,0.3,missing-30,corrupted,0.8307788503594552,0.055385256690630345,0.06666666666666667,0.060504584351906844,973974
Softmax,missing,0.3,missing-30,intact,0.8887992713256065,0.46923914611712875,0.4268979685907349,0.3866034162263298,2272620
Softmax,missing,0.3,missing-30,corrupted,0.8307788503594552,0.055385256690630345,0.06666666666666667,0.060504584351906844,973974
XGBoost,missing,0.3,missing-30,intact,0.8453498605134162,0.4598698876456957,0.24075085092070303,0.26182444707194114,2272620
XGBoost,missing,0.3,missing-30,corrupted,0.8307788503594552,0.055385256690630345,0.06666666666666667,0.060504584351906844,973974
